locus,n_gws,gws_median,gws_mean,gws_max,n_ctrl,ctrl_median,ctrl_mean,ctrl_max,mannwhitney_U,p_two_sided,rank_biserial,sampling_method,run_date_utc,ag_version
5p15,203,0.0969702452421188,0.14268452868042192,3.1434433460235596,203,0.11555513739585876,0.17449554493576241,2.5054876804351807,17532.0,0.009363878325050387,-0.14911791113591688,stratified,2026-08-04T15:21:19Z,0.6.1
6p21,28,0.0379177015274763,0.04567286065503135,0.1725528091192245,28,0.04241475462913513,2.834044258259902,47.75626754760742,282.0,0.07275592235964158,-0.2806122448979592,stratified,2026-08-04T15:21:19Z,0.6.1
11p13,111,0.0679451376199722,0.09544956143017276,1.2444697618484497,111,0.07770412415266037,0.1099494845933608,0.565784215927124,5230.0,0.051948420537066387,-0.1510429348267186,stratified,2026-08-04T15:21:19Z,0.6.1
Xq23,184,0.062378652393817846,0.08261508299240272,0.8668966889381409,184,0.06704221293330193,0.08129850023365377,0.3929237723350525,16530.0,0.6968470794763488,-0.023511342155009496,stratified,2026-08-04T15:21:19Z,0.6.1
